Period,SM Axis
11.186,0.0485
11.185,0.048
11.1868,0.04856
9.262,0.068
21.789,0.12
9.8658,0.0496
11.4407,0.072
11.4432,0.0732
11.4433,0.0717
162.87,0.538
636.13,1.334
20,0.133
49.41,0.243
3.204,0.021
6.689,0.035
13.031,0.054
1.96876,0.01557
1.9689,0.0156
2.02087,0.01634
3.05989,0.02156
0.75215,0.0082
3.06008,0.0209
4.6568,0.0276
4.65626,0.02851
4.65627,0.02764
4.91,0.0252
11.409,0.0443
121.54,0.311
4.8869,0.0375
4.8876,0.035509
17.8719,0.089
17.867,0.08427
67.27,0.2039
217.21,0.47
771.36,0.88
767.887,0.87
4.6938,0.039
38.14,0.17
38.142,0.163
38.14,0.16353
38.152,0.1658
727.562,1.165
61.1166,0.208317
61.03474,0.2177
61.065,0.211
61.082,0.214
61.087,0.218585
60.83,0.20774
61.02,0.208
60.85,0.21
30.0784,0.135989
30.455,0.13065
30.22902,0.1363
30.0881,0.12959
30.12,0.13
30.259,0.132
30.126,0.134
1.937848,0.021839
1.93774,0.020807
1.93785,0.021
1.937916,0.02183
1.938,0.021
1.93778,0.020807
124.26,0.3343
124.4,0.345
124.5,0.3514
10.3465,0.0457
21.202,0.0738
17.478,0.08
57.32,0.176
5.3636,0.03282
40.54,0.1264
14.238,0.0818
12.9394,0.07879
12.9532,0.0785
12.946,0.0789
12.9382,0.07892
121.93268,0.384
121.995,0.339
526.115,0.898
471,0.97
579.47495,1.086
105.911,0.343
105.9,0.3357
18.6498,0.091101
4.7234,0.036467
18.315,0.1207
18.33,0.127
43.17,0.225
40.114,0.2036
90.309,0.3499
88.9,0.364
147.02,0.509
36.116,0.1417
284.39,0.63965
5.36874,0.04
5.3686,0.04061
5.366,0.041
5.368,0.041
5.36841,0.040616
5.36879,0.04099
12.919,0.074
12.9292,0.07
12.9191,0.072993
12.914,0.0721
12.9144,0.07359
3.14867,0.028453
3.14942,0.03
3.149,0.02815
3.153,0.029
24.45,0.141
24.422,0.142
14.628,0.078361
3.092926,0.03876
3.0935,0.0382
3.092947,0.03838
3.0931,0.038474
3.09292,0.03863
6.767,0.064
6.7635,0.064816
6.76458,0.0653
6.765149,0.0652
6.76406,0.06466
46.66,0.233
46.734,0.2345
46.859,0.237
46.71,0.23508
22.7945,0.1453
22.805,0.14574
22.717,0.1463
94.2,0.3753
5.35882,0.03807
5.3587657,0.03813
5.35876,0.022
3.1239035,0.02661
7.02679,0.05402
7.20066,0.049
7.2,0.05
7.1999,0.050431
7.2004,0.0505
28.1,0.12501
28.143,0.125
28.155,0.123
28.14,0.125
62.24,0.213
39.026,0.156
256.2,0.549
140.43,0.422
389.7,0.5714
1.467119,0.01734
15.5314,0.0917
15.53,0.091
15.53209,0.091
4.21487,0.04956
4.215,0.050201
38.0957,0.2151
38.021,0.2175
123.01,0.476
2.2907,0.0185
74.72,0.32
74.39,0.319
74.062,0.3262
525.8,1.18
7.3697,0.06
7.3709,0.058
7.3705,0.062
7.3709,0.06
36.059,0.178
122.1,0.46
0.321962,0.0071
0.3219225,0.00709
3.93072,0.035
3.9306,0.036
9.1247,0.061
55.661,0.204
8.7752,0.06649
8.776,0.066
8.7836,0.066
203.59,0.338
203.69,0.337
1599.6,0 1.292000
15.564,0.0672
8.4630004,0.0644
8.4629991,0.0645
8.46321,0.066
8.463,0.0645
18.859019,0.1101
18.858982,0.11
18.858991,0.1101
2.643943,0.0278
2.643892,0.02849
2.6438979,0.0287
2.64389803,0.0308
2.64389788,0.03109
2.64386,0.02872
2.64389524,0.02887
2.6441,0.0278
2.6,0.029
2.64385,0.02872
2.64385,0.0285
2.643859,0.0278
2.64388312,0.0291
2.644,0.028
13.8508,0.0905
6.9442,0.0405
2.76953,0.02933
5.70588,0.04749
8.781,0.048
3.6511,0.026
600.1,1.112
598.3,1.135
604.8,1.1325
8.708,0.067
8.7076,0.06661
17.818,0.112
2.25314,0.0233
2.2531136,0.02191
2.2531,0.02282
3.6904,0.0317
3.6906777,0.0304
3.690621,0.0324
7.4507245,0.0486
7.45086,0.052
7.4512,0.0506
12.796,0.0717
86.54,0.3193
86.78,0.323
86.592,0.3315
15.76491,0.113
15.764,0.114
15.76491,0.11
10.49488,0.088
41.38,0.166
41.397,0.163506
41.375,0.1686
535.9,0.9302
532.58,0.912
2.37756,0.029
62.25,0.295
62.206,0.296
62.197,0.28
62.242,0.2955
62.218,0.295
10.77,0.05366
58.43,0.26
58.43,0.26
15.5083,0.1238
50.8,0.2324
51.625,0.2403
744.7,1.424
749.83,1.4
73.94,0.291
17.133,0.092
17.38,0.103
24.329,0.129
106.3,0.309
8.667,0.0785
8.66945,0.0794
31.56,0.186
31.613,0.1882
197,0.63
200.61,0.645
14.65126,0.1138
14.647,0.115
14.648,0.11
14.465314,0.11339
14.65152,0.115227
14.651,0.1134
14.6516,0.1134
14.65162,0.115
14.67,0.115
14.6,0.113
14.65171,0.1162
14.653,0.115
44.3827,0.2432
43.93,0.24
44.3787,0.238
44.373,0.23735
44.3989,0.2373
44.3446,0.24
44.4175,0.241376
44.38,0.237
0.7365478,0.015439
0.736539,0.01544
2.79674,0.0377
0.7365437,0.01544
2.808,0.038
0.736546,0.01583
0.7365515,0.015691
0.73654,0.01583
0.7365474,0.01544
0.7365445,0.01583
262,0.788
260.91,0.7733
260.7,0.775
259.88,0.7708
260,0.781
260.98,0.792
261.2,0.77
1.628931,0.0153
1.6289287,0.01533
8.929,0.0476
20.129,0.111
26.161,0.119
11.72,0.092
528.4,1.32
4.3123,0.0468
4.3123,0.047524
4.3115,0.0475
9.6207,0.0812
9.6183,0.08113
9.6184,0.0799
20.4185,0.134
20.4321,0.13407
20.432,0.1321
51.56,0.2485
51.7768,0.2491
51.76,0.247
197.8,0.6
196.343,0.6069
25.201,0.143
4.611,0.057
4.61712,0.059
4.617122,0.05914
4.61708,0.059
4.617033,0.059222
4.617111,0.0594
4.617136,0.0595
240.9402,0.829
238.1,0.821
241.52,0.83
241.223,0.8265
241.258,0.827774
241.33,0.832
5.09071,0.051
3.0232,0.026
1.2391491,0.01223
9.567,0.068
24.16,0.1344
111.7,0.36
1.58040456,0.01411
1.58040433,0.0149
11.57797,0.0964
11.5824,0.0934
11.57779,0.0969
27.59221,0.1721
27.5909,0.1729
27.5821,0.1666
107.245,0.425
107.5983,0.4128
107.63,0.4285
0.46292913,0.00622
3.822,0.039435
24.736959,0.0936
24.73712,0.0875
24.73694,0.0957
3.77792,0.02734
3.777931,0.02675
8.63182,0.0607
25.63058,0.1254
603.95116,1.0304
692,1.15
692.9,0.95
695.66,1.151
695.36,1.18
13.671,0.0932
9.02378,0.085
4.231,0.052
4.23077,0.052
4.2307969,0.05235
4.230785,0.0527
691.9,1.22
19.466,0.119
645.5,1.5
643.25,1.497
743,1.65
637,1.5
646.485,1.535
9.6369,0.09286
9.55,0.09
9.6386,0.09094
310.55,0.921
307.475,0.934
3.3124568,0.049
3.3124534,0.04869
3.312463,0.0481
3.3128,0.0462
2.616235,0.0252
2.6162745,0.02569
15.04,0.081
17.11704,0.1294
17.1,0.128
17.111,0.1304
2.30538,0.02279
8.0518,0.0525
1056.80005,0 1.820000
1050.3,0 1.800000
1051.44521,0 1.735000
1056.8,0 1.820000
1051.1,0 1.812000
3.6,0.0413
3.60076,0.039
35.47358,0.181
35.37,0.187
263.3,0.71
663.2,1.24
35.61253,0.1915
35.589,0.1932
7.78993,0.0695
458.6,1.099
454.2,1.086
453.019,1.084
422,1.02
453.28,1.088
917.5,1.742
923.8,1.745
928.3,1.76
921.538,1.74
11.949,0.079
44.505,0.246
6.905,0.0608
5.101284,0.04685
5.39792,0.06
5.3978,0.057
5.39792,0.05664
5.39785,0.05595
15.299,0.1134
15.3006,0.1121
24.4459,0.1532
24.451,0.1551
302.79999,0.92
312,0.91
320.1,0.925
39.8438,0.2245
39.645,0.23
39.84324,0.2213
39.8458,0.2196
102.557,0.4157
102.54,0.4123
102.19,0.4206
282.2,0.827
12.949,0.1061
133.71,0.49
14.4399,0.0876
60.722,0.256
116.689,0.456
116.6884,0.48
116.69335,0.4765
116.688,0.481
116.6884,0.484
116.6926,0.481
14.288,0.111
33.688,0.197
7.29903,0.068
15.27018,0.111
2.64977,0.029
13.74,0.089
17.054,0.12186
17.0431,0.12
17.0495,0.1231
17.054,0.123
17.038,0.119
17.0431,0.1232
1.9495378,0.01848
10.66669,0.091
18.56,0.134
6.26834,0.06702
6.26791,0.069
6.2679,0.06839
415.2,1.16
428.1,1.271
7.76,0.063
15.144,0.099
35.45,0.198
35.466,0.1954
154.43,0.528
24.4,0.15
24.3556,0.1532
24.13,0.15
24.3556,0.15
23.646,0.146
24.3597,0.154
24.348,0.15
24.3587,0.15312
2.218555,0.03126
2.218577,0.03106
2.218573,0.03099
2.218,0.031
2.219,0.0313
2.2185752,0.031
2.2,0.031
2.21857578,0.03142
2.218573,0.0312
796,1.93
763,1.9
735.1,1.758
0.8602322,0.01251
3.694247,0.0331
7.12682,0.08
7.126846,0.07505
7.1268744,0.0739
7.1269,0.074
7.12689,0.073
7.126816,0.0748
30.5987,0.14339
30.6,0.1434
123.75,0.364
122.6196,0.36175
48.1345,0.19394
13.2543,0.08208
380.8,1.2
3.8728,0.0428
125.94,0.435
55.806,0.2643
55.828,0.2673
55.806,0.26
0.5182416,0.00915
0.5182349,0.00916
2.64561,0.0287
628.96,1.46
241.8,0.657
388,1.1
501,1.2
492.56,1.164
496.9,1.169
493.7,1.16
34.15,0.176
799.45,1.676
798.5,1.681
800.8,1.6
799.5,1.68
799.5,1.68
798.5,1.66
414.8,1.276
417,1.25
442.19,1.138
442.19,1.13
442.943,1.123
442.1,1.1
437,1.1
13.352,0.082
9.494,0.0831
9.4903,0.08
9.48908,0.0805
9.4909,0.0796
5.75999,0.057638
7.28243,0.067393
10.86499,0.08799
25.1967,0.15417
4.0179694,0.027
49.77,0.25
49.609,0.2509
5.8854,0.0644
5.8858,0.0641
13.1407,0.1095
13.1354,0.11
0.768377,0.01203
0.768448,0.01211
12.252131,0.0762
12.2519,0.07673
75.817,0.3411
75.74,0.341
75.765,0.3351
12.458,0.103
12.4584,0.1023
41.763,0.2292
15.56,0.115
15.56,0.12
7.39726,0.073
7.397225,0.0559
7.10793,0.0719
20.5453,0.1458
2.853136,0.03165
3.36008,0.0306
3.3601538,0.03197
5.660172,0.0472
5.6605731,0.04526
11.379573,0.0721
11.38014,0.0733
466.2,1.305
535.7,1.42
10.2851,0.088
65.78395,0.287
159.986,0.492
3.2498,0.041
15.1479,0.1192
57.435,0.25
57.435,0.25
5.7727,0.063438
5.77152,0.0634
5.77142,0.0636
13.504,0.1121
13.5052,0.1117
6.441008,0.0629
15.819,0.101
14.207,0.089
55.199,0.243
10.2152,0.1
13.4586,0.0943
3.2696,0.0444
99.62167,0.426
4.64275,0.05024
4.6455,0.05
811.3,1.57
149.61,0.554
148.49,0.5337
1.4079405,0.0204
1.4015,0.02091
3.4982,0.04853
17.24,0.14
8.1245,0.0777
19.88,0.141
103.5,0.424
5.2354,0.053
8.1352,0.07
8.1352,0.07
32.03,0.178
431.7,1.01
201.9,0.77
201.3,0.759
604,1.58
600.1,1.6
298.2,0.87
258.31,0.82
258.17999,0.81
264.6,0.82
258.251,0.818
258.19,0.81
108.45299,0.474
351.43394,1.039
350.3,1.045
349.7,1.02
339,1
5.6368,0.056
14.03,0.103
33.91,0.185
0.948005,0.00969
0.9479981,0.00978
4.9899093,0.02961
4.989963,0.029392
2.753436,0.01992
120.878,0.439
9.3745,0.0801
9.3743,0.08
9.37459,0.08013
9.3743,0.08
1014.5,0 1.819000
975.41,1.7731
962,1.76
74.2,0.3
8.24661,0.0652
15.6653,0.1
1.1980035,0.01589
15.509,0.0876
3.092535,0.04439
3.0925,0.045
3.093,0.045
3.092514,0.0443
3.81673,0.0422
8.59545,0.075
1.87567,0.03
441.2,1.18
441.93,1.189
441.47,1.18306
442.4,1.151
435.1,1.18
219.929,0.747
219.3,0.7209
220.078,0.74345
219.4,0.75
219.3,0.747
24.245586,0.1288
6.4898,0.06296
16.8191,0.11878
8.239493,0.057
937.70001,1.73
937.7,1.65
5.746007,0.0385
9.6737,0.08
9.6737,0.0809
14.1815,0.10519
53.753,0.2554
40,0.23
16.202159,0.1163
69.971,0.283
1.22003,0.0197
5.974,0.057
257.8,0.698
1.3060011,0.0202
143.58,0.477
225.7,0.6873
225.17,0.6875
225.7,0.69
1143,0 1.970000
1143,0 1.970000
1118,0 1.900000
3.5098,0.046
3.508,0.047
3.50927,0.05
3.509267,0.0482
84.288,0.362
4.11434,0.0491
4.079,0.049
4.11377,0.05
3.3366496,0.0355
3.33714,0.0348
3.33665,0.03557
3.336649,0.03596
3.3366487,0.031
2.224,0.031
3.024,0.041
3.023573,0.0398
3.023495,0.03998
1.2089819,0.0188
1.208957,0.02
1.2089802,0.01888
1.208966,0.0206
1.2089819,0.0188
3.64823,0.0429
3.6480957,0.03925
3.648096,0.03925
3.648083,0.03942
3.64802,0.042
6.201467,0.05615
6.20141,0.06
6.20147,0.0559
6.2014698,0.05591
6.20142,0.0611
3.81433,0.0404
119.29,0.504
119.263,0.506
119.29,0.5
118.96,0.49
119.6,0.5
119.27,0.52
70.46,0.3
70.46,0.302
11.06201,0.061
18.27,0.1139
